,t,E1,Emass,Ebound,4,5,6,7,delta,Model,CFL,Res,nCells
4,0.5,0.009336542928702068,4.163336342344337e-17,4.406249970582088e-21,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL005,10,99.99999999999993
9,0.5,0.0033153455751501835,6.93889390390723e-17,3.597122599785507e-14,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL005,20,400.00000000000097
14,0.5,0.0008962116704510313,8.326672684688674e-17,7.371880883511038e-14,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL005,40,1600.0000000000275
19,0.5,0.0002664783709053192,8.049116928532385e-16,5.990442720508177e-16,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL005,80,6400.000000000414
24,0.5,0.00014975247726132585,1.482147737874584e-14,4.441629017164738e-18,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL005,160,25600.000000008775
29,0.5,4.9529292207636336e-05,4.7961634663806756e-14,4.235164736271502e-22,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL005,320,102400.00000007873
34,0.5,0.008570651988452806,5.551115123125784e-17,4.004841679491376e-14,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL01,10,99.99999999999993
39,0.5,0.00311199074405999,4.163336342344337e-17,1.709743457922741e-14,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL01,20,400.00000000000097
44,0.5,0.0008374781514221037,1.3877787807814454e-16,9.325873406851315e-15,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL01,40,1600.0000000000275
49,0.5,0.00025372259711617634,4.1633363423443365e-16,1.6164847238542282e-13,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL01,80,6400.000000000414
54,0.5,0.00015482758998922036,1.5515366769136563e-14,2.2204460492503126e-16,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL01,160,25600.000000008775
59,0.5,5.679457965645512e-05,2.453592884421596e-14,1.694065894508601e-21,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL01,320,102400.00000007873
64,0.5,0.007164766769883953,6.93889390390723e-17,2.8230570813705724e-14,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL02,10,99.99999999999993
69,0.5,0.002604603246913304,4.163336342344337e-17,3.3929279810243675e-15,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL02,20,400.00000000000097
74,0.5,0.0007351444578035348,2.775557561562892e-17,3.899795073807696e-15,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL02,40,1600.0000000000275
79,0.5,0.00027303641851951645,1.6653345369377348e-16,7.771561172376096e-15,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL02,80,6400.000000000414
84,0.5,0.00020504522262688627,1.0019762797242038e-14,4.909359459449602e-15,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL02,160,25600.000000008775
89,0.5,8.143276737911535e-05,1.9206858326015208e-14,6.050232632084843e-15,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL02,320,102400.00000007873
94,0.5,0.004321598291770271,0.0,1.7287490883255448e-13,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,isoAlpha,CFL05,10,99.99999999999993
99,0.5,0.0017253797536206856,2.775557561562892e-17,1.9617660284281926e-16,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,isoAlpha,CFL05,20,400.00000000000097
104,0.5,0.00114282470411989,8.326672684688674e-17,4.440892098500625e-16,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,isoAlpha,CFL05,40,1600.0000000000275
109,0.5,0.0006811994922398052,9.71445146547012e-16,3.011276438193157e-17,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,isoAlpha,CFL05,80,6400.000000000414
114,0.5,0.00045173760564764354,8.687495167691852e-15,1.89204522588864e-16,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,isoAlpha,CFL05,160,25600.000000008775
119,0.5,0.00021082617015257595,2.6700863742235012e-14,2.168404344971009e-19,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,isoAlpha,CFL05,320,102400.00000007873
124,0.5,0.008923902728673308,4.163336342344337e-17,6.185226261464369e-13,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,plicRDF,CFL005,10,99.99999999999993
129,0.5,0.002658860083078299,3.469446951953614e-16,8.704148513061227e-14,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,plicRDF,CFL005,20,400.00000000000097
134,0.5,0.0008204362686250763,2.498001805406602e-16,6.061489493198728e-14,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,plicRDF,CFL005,40,1600.0000000000275
139,0.5,0.00020291171138565748,2.775557561562892e-17,4.783606498915544e-14,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,plicRDF,CFL005,80,6400.000000000414
144,0.5,4.970181179664296e-05,1.3350431871117507e-14,5.293955920339377e-23,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,plicRDF,CFL005,160,25600.000000008775
149,0.5,1.571876029964911e-05,3.8413716652030416e-14,4.613531424266978e-86,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,plicRDF,CFL005,320,102400.00000007873
154,0.5,0.008073401526183022,0.0,8.859579736508749e-14,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,plicRDF,CFL01,10,99.99999999999993
159,0.5,0.0025547634721333015,3.6082248300317592e-16,6.306066779870889e-14,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,plicRDF,CFL01,20,400.00000000000097
164,0.5,0.0007748116924579934,1.3877787807814454e-16,2.708944180085382e-14,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,plicRDF,CFL01,40,1600.0000000000275
169,0.5,0.000189800165496899,3.6082248300317592e-16,9.769962616701376e-15,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,plicRDF,CFL01,80,6400.000000000414
174,0.5,5.3400840580100016e-05,1.4432899320127035e-14,5.906386491005833e-14,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,plicRDF,CFL01,160,25600.000000008775
179,0.5,1.8888501937138943e-05,3.3334446314370325e-14,1.3891340334970526e-19,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,plicRDF,CFL01,320,102400.00000007873
184,0.5,0.006376250839587193,2.775557561562892e-17,1.8221786038356358e-14,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,plicRDF,CFL02,10,99.99999999999993
189,0.5,0.002207022996776429,2.775557561562892e-17,1.1546319456101628e-14,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,plicRDF,CFL02,20,400.00000000000097
194,0.5,0.0006715886672569711,8.326672684688674e-17,1.1102230246251563e-15,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,plicRDF,CFL02,40,1600.0000000000275
199,0.5,0.0002049157403410444,2.498001805406602e-16,6.661338147750939e-16,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,plicRDF,CFL02,80,6400.000000000414
204,0.5,9.316500999070582e-05,9.214851104388801e-15,8.337768816297705e-15,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,plicRDF,CFL02,160,25600.000000008775
209,0.5,3.4283242668718253e-05,3.0059288391726113e-14,1.2085289763652605e-17,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,plicRDF,CFL02,320,102400.00000007873
214,0.5,0.0037257011727472576,2.775557561562892e-17,7.389748879518785e-16,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,plicRDF,CFL05,10,99.99999999999993
219,0.5,0.0017615990414652136,4.163336342344337e-17,1.5223235244612281e-15,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,plicRDF,CFL05,20,400.00000000000097
224,0.5,0.0012493196404361508,2.775557561562892e-17,6.425752371359921e-19,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,plicRDF,CFL05,40,1600.0000000000275
229,0.5,0.0007460197259551035,1.2490009027033013e-15,2.1940521236543922e-18,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,plicRDF,CFL05,80,6400.000000000414
234,0.5,0.00043456381168868535,9.270362255620057e-15,6.084022174945944e-15,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,plicRDF,CFL05,160,25600.000000008775
239,0.5,0.00021735147067595452,2.7255975254547596e-14,4.423544863740858e-17,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,plicRDF,CFL05,320,102400.00000007873
244,0.5,0.017966540174028354,1.3877787807814457e-17,5.440473393046901e-19,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,MULES,CFL005,10,99.99999999999993
249,0.5,0.010804121173430556,1.1102230246251563e-16,1.1068345577783724e-18,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,MULES,CFL005,20,400.00000000000097
254,0.5,0.00549826696837152,8.326672684688674e-17,7.985399586672083e-19,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,MULES,CFL005,40,1600.0000000000275
259,0.5,0.002667096121449973,3.05311331771918e-16,1.3893653534905342e-18,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,MULES,CFL005,80,6400.000000000414
264,0.5,0.001253628129769229,4.440892098500625e-16,1.598977930731993e-18,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,MULES,CFL005,160,25600.000000008775
269,0.5,0.0006047808327447101,8.326672684688673e-16,4.218847493575595e-15,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,MULES,CFL005,320,102400.00000007873
274,0.5,0.01904602738914812,1.3877787807814457e-17,2.711883032452263e-19,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,MULES,CFL01,10,99.99999999999993
279,0.5,0.01194429703963011,1.3877787807814457e-17,1.9265867191106557e-18,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,MULES,CFL01,20,400.00000000000097
284,0.5,0.006038557253856273,5.551115123125784e-17,2.2956895890539442e-18,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,MULES,CFL01,40,1600.0000000000275
289,0.5,0.0029401088927917696,2.7755575615628914e-16,4.453066703957499e-15,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,MULES,CFL01,80,6400.000000000414
294,0.5,0.0013791574150069303,4.718447854656915e-16,2.1691572789915304e-14,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,MULES,CFL01,160,25600.000000008775
299,0.5,0.0006675013336575141,1.0269562977782698e-15,2.753353101070388e-14,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,MULES,CFL01,320,102400.00000007873
304,0.5,0.02300767084760408,0.0,3.096087451580391e-19,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,MULES,CFL02,10,99.99999999999993
309,0.5,0.015046451447235482,4.163336342344337e-17,4.000851391147264e-11,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,MULES,CFL02,20,400.00000000000097
314,0.5,0.00778649943404131,8.326672684688674e-17,2.5862539457491394e-09,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,MULES,CFL02,40,1600.0000000000275
319,0.5,0.003747833584883375,1.582067810090848e-15,1.1183663731679126e-11,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,MULES,CFL02,80,6400.000000000414
324,0.5,0.0017934648971866336,4.996003610813204e-16,2.620126338115369e-14,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,MULES,CFL02,160,25600.000000008775
329,0.5,0.0008912777566346273,1.1657341758564144e-15,1.1546319456101628e-14,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,MULES,CFL02,320,102400.00000007873
334,0.5,0.05138592513527802,2.775557561562892e-17,2.5597102678281763e-05,0.0,0.0,0.09999999999999992,100.0,0.010000000000000007,MULES,CFL05,10,99.99999999999993
339,0.5,0.033909736654492595,4.163336342344337e-17,0.005026885431455908,0.0,0.0,0.049999999999999975,400.0,0.002499999999999994,MULES,CFL05,20,400.00000000000097
344,0.5,0.018211359254918288,1.1102230246251563e-16,2.1935289291619142e-06,0.0,0.0,0.0250000000000002,1600.0,0.0006249999999999893,MULES,CFL05,40,1600.0000000000275
349,0.5,0.009932523857672975,1.4432899320127037e-15,0.007067555147523441,0.0,0.0,0.012499999999999466,6400.0,0.0001562499999999899,MULES,CFL05,80,6400.000000000414
354,0.5,0.00670460466187465,7.271960811294775e-15,0.08454532029597539,0.0,0.0,0.0062500000000012025,25600.0,3.906249999998661e-05,MULES,CFL05,160,25600.000000008775
359,0.5,0.005368315646385965,2.273181642920008e-14,0.11606880666193672,0.0,0.0,0.0031249999999974584,102400.0,9.765624999992492e-06,MULES,CFL05,320,102400.00000007873
