,t,E1,Emass,Ebound,4,5,6,7,delta,Model,Res,nCells
1,8,0.02849272985229988,4.996003610813204e-16,3.469446951953615e-18,0.0,0.0,0.018472646804154672,565.0,0.0004436557231588285,isoAlpha,32,2254.0000000000014
3,8,0.005346143164942204,1.6653345369377348e-16,8.470329472543003e-22,0.0,0.0,0.009115401519649872,2332.0,0.00010799136069114476,isoAlpha,64,9259.999999999996
5,8,0.0013839751144872105,2.636779683484747e-16,5.4210108624275216e-20,0.0,0.0,0.004533375227901955,9395.0,2.670512204240741e-05,isoAlpha,128,37446.00000000046
7,8,0.0002675433769357419,1.3877787807814457e-17,3.6237677370671087e-10,0.0,0.0,0.002261698798272431,37683.0,6.645666360966548e-06,isoAlpha,256,150473.9999999879
9,8,9.477093932395315e-05,1.8041124150158797e-14,3.2882636613607015e-09,0.0,0.0,0.0011295784426224274,150714.0,1.657627073691294e-06,isoAlpha,512,603272.0000000638
11,8,0.025852039750601363,4.996003610813204e-16,8.271806125530275e-25,0.0,0.0,0.018472646804154672,565.0,0.0004436557231588285,plicRDF,32,2254.0000000000014
13,8,0.004260628867378114,9.714451465470121e-17,4.336808689942018e-19,0.0,0.0,0.009115401519649872,2332.0,0.00010799136069114476,plicRDF,64,9259.999999999996
15,8,0.0012537362215938484,3.469446951953614e-16,2.2204460492503126e-16,0.0,0.0,0.004533375227901955,9395.0,2.670512204240741e-05,plicRDF,128,37446.00000000046
17,8,0.0003136860643462045,4.3021142204224816e-16,1.5315597304370884e-11,0.0,0.0,0.002261698798272431,37683.0,6.645666360966548e-06,plicRDF,256,150473.9999999879
19,8,7.323406880218567e-05,1.3114509478384662e-14,4.9275268701040136e-09,0.0,0.0,0.0011295784426224274,150714.0,1.657627073691294e-06,plicRDF,512,603272.0000000638
21,8,0.05184729340418719,2.498001805406602e-16,1.1709563263684332e-05,0.0,0.0,0.018472646804154672,565.0,0.0004436557231588285,MULES,32,2254.0000000000014
23,8,0.01488542061216136,1.249000902703301e-16,4.903900932809676e-05,0.0,0.0,0.009115401519649872,2332.0,0.00010799136069114476,MULES,64,9259.999999999996
25,8,0.00484763279895874,3.3306690738754696e-16,1.1040567390097069e-05,0.0,0.0,0.004533375227901955,9395.0,2.670512204240741e-05,MULES,128,37446.00000000046
27,8,0.0022476876303442936,2.7755575615628914e-16,0.003884693538656299,0.0,0.0,0.002261698798272431,37683.0,6.645666360966548e-06,MULES,256,150473.9999999879
29,8,0.0014187507904263362,1.7069679003611782e-15,0.006707953938432704,0.0,0.0,0.0011295784426224274,150714.0,1.657627073691294e-06,MULES,512,603272.0000000638
